#streetID congestion_degree
50773576 0.0
8084028 :
90377409 0.0
8084213 :
8084028 0.0
8084214 :
178645216 0.0
8084216 :
82283097 0.0
8084219 :
24251534 0.0
8520103 :
68280133 0.0
68280152 0.0
68280154 0.0
8536957 :
24235678 0.0
52906681 0.0
155964409 0.0
193232765 0.0
8546271 :
177523554 0.0
193232780 0.0
193232785 0.0
232015312 0.0
8546297 :
15702556 0.0
24231970 0.0
32763830 0.0
36255910 0.0
36255912 0.0
36290176 0.0
36334600 0.0
36334601 0.0
163994099 0.0
9484424 :
27343507 0.0
142974718 0.0
142983224 0.0
142983227 0.0
10140059 :
22880293 0.0
125374931 0.0
10140181 :
125374976 0.0
125519052 0.0
10140211 :
10140293 0.0
22880293 0.0
28867516 0.0
10140293 :
28867516 0.0
95513277 0.0
125374922 0.0
125519054 0.0
171872409 0.0
10140405 :
28867557 0.0
95513670 0.0
127586125 0.0
10140484 :
22979121 0.0
41156423 0.0
147124814 0.03693196195078518
10140555 :
22951369 0.0
121897327 0.06287159195193516
121996219 0.0
10140730 :
25420417 0.0
82201173 0.0
106205316 0.0
123971388 0.0
10141263 :
22912138 0.0
51006942 0.0
118709892 0.0
121402079 0.006348976959964476
121455911 0.0
10141275 :
118709083 0.0
118709093 0.0
118709889 0.0
118709892 0.0
10141284 :
10148346 0.0
15462205 0.0
144176440 0.0
219333179 0.0
250054893 0.0
10142138 :
10142245 0.0
10148347 0.0
26802706 0.0
26802736 0.0
201199882 0.0
10142191 :
10142245 0.0
10148347 0.0
26802736 0.0
147097852 0.0
10142245 :
10142138 0.0
10142191 0.0
28193749 0.0
202490542 0.0
10148346 :
219333177 0.0
219333178 0.0
219333179 0.0
10148347 :
10142191 0.0
28193749 0.0
97165936 0.0
144910642 0.0
10639979 :
178469121 0.0
242345821 0.0
242345822 0.0
10639982 :
36779947 0.0
10639983 :
22885647 0.0
23591371 0.0
23591593 0.0013553860866338063
122185773 0.0
129115595 0.0
139800474 0.0
201008859 0.0
10640840 :
13280218 0.0
22886091 0.0
125987182 0.0
184686129 3.106848275600201E-4
201561734 0.0
10640841 :
22886177 6.481085336923494E-4
24877402 0.0
121900406 0.0
11350613 :
27806529 0.0
33686042 0.0
140435814 0.0
11353130 :
23787623 0.0
24535275 0.0
103775342 0.0
103775349 0.0
178471726 0.0
178471727 0.0
11353959 :
4949503 0.0
74326047 0.0
124048536 0.0
11353963 :
22979044 0.0
11354434 :
11354435 0.0
11354437 0.0
11359684 0.0
23694869 0.0
102290906 0.0
201007336 0.0
11354435 :
11354434 0.0
121548976 0.0
201007334 0.0
232183089 0.0
11354437 :
11354434 0.0
129115593 0.0
201007334 0.0
232183089 0.0
11355154 :
23591369 0.0
23591370 0.0
102290909 0.0
11359684 :
11354434 0.0
102290906 0.0
232183089 0.0
